J'ai toujours aimé  mais avec DALS je le redécouvre et je l'aime bcp plus. &,1
Merci baba pour ce  et vivement  &,1
Non mais c'est une blague là ?!!! Je voulais voir Bruno  ,0
 : Venez voir le spectacle  et excusez vous d'avoir dit qu'  n'avait pas de talent ! ,2
Attention! L'enquête pour "corruption de témoins" impliquant un ancien Président et le monde de Ruby n'a aucun lien avec la FFR. ,2
 c'est pour cela que je ne voterai plus jamais. Ces types n'ont aucun sens de l'interet superieur de la nation.  ,0
quel gros mufle goujat aucun COURAGE... (en privé comme en public)  ,0
49% pour Dati au 1er tour... l'ex même que les Français n'ont rien compris vu la personne et son manque de travail..! ,0
"On ne peut pas s'imaginer analphabète" Régis Jauffret  ,3
Ce qui fait le + mal dans l'affaire  ce n'est pas la tromperie d' mais le ridicule à l'étranger comme l'affaire DSK. Honte!,0
   elle on ne la connaissais pas avnt le mois de mars dernier elle n'a aucun talent juste famille proche de ,0
Régis Jauffret : "est-ce que toute l'espérance de Sarkozy pour sa réélection ne reposait pas sur  ?",3
Brexit : François Hollande prend la température politique en France avant Berlin et B ... - ,3
on a pas vu ça depuis DSK RT  La foule des journalistes devant l’immeuble de Philip Seymour Hoffman à New York,3
Moscovici donne aucun chiffre alors que Marine lui en oppose ! Pas étonnant qu il n a pas vu pour Cahuzac,0
DALS c'est trop sensuel obligé qu'ils pecho ,1
Discours lors du congrès de l’Union nationale des associations familiales -  ,3
France le chômage repart légèrement à la hausse en mai... ,3
Attentat d'Ankara : Erdogan instrumentalise les violences. Une politique irresponsable - le Plus (nouvelobs) ,3
Ma collègue qui dit qu'elle A regardé dals pour Voir ta chouchoute et qu'ils ôn super bien danser fière   &,1
F. Asselineau sur la Syrie : "BHL n'est pas plus philosophe que je ne suis moine tibétain." ,3
En Syrie les deux côtés ne se conforment pas au chemin de la délivrance montré par Allah. Pour cette raison l’oppression continue ,3
La syrie ca vous interresse ou pas ?  ,3
. Les horreurs du passé auraient dû suffire pour que le monde n'en accepte aucune en 2015. Il faut croire que non...  ,0
EXCLUSIF : Les djihadistes reculent en Syrie ne laissant derrière eux que cadavres et désolation ,3
Ce pauvre type ne perd aucune occasion de dire des conneries bien plus grosses que lui ,0
Si pendant deux mandats vous n'aviez rien fait qui puisse régler le moindre problème de la région. C'est normal... ,0
L'équilibre ne s'établit jamais par le bas mais par le haut! Seul la  peut faire face à la "suprématie" destructrice des  ,2
C'est quand même le seul pays dit "Démocrate" à avoir utilisé la bombe nucléaire sur des civils! & Suffisant ou pas?   ,0
A Moscou on évoque de plus en plus souvent Dayton à propos du Donbass (fédéralisation de fait) ou de la Syrie (participation d'Assad),3
  assure ne jamais avoir pense se porter candidat dans un autre pays pour  via  ,3
L'Assemblée adopte la proposition de loi pénalisant les clients de prostituées  Pas sympas les copains ! ,0
Il y a encore 2 ans tout le PS roulait pour DSK... Faites ce que je dis mais pas ce que je fais ,0
Les femmes et les hommes n'utilisent pas leur cerveau de la même façon ... DSK a effectivement dit cela !-) ,3
Fabrice Luchini: "Ayrault ne se fait pas faire des turluttes avec DSK et des cochonnes! C'est un brave homme." ,3
Ségolène  n'a aucun "état d'âme". Audiard aurait même dit que c'est à ça qu'on la reconnaît,0
Fabrice Luchini: "Ayrault on sent que c'est un brave homme. Il n'a pas le camescope pendant qu'une femme lui..." ,3
Fabrice  : "  ne tient plus la barraque" ,3
Bref j'y crois pas. Comme pour DSK Mohammed Merah et compagnie. Ils savent ce qu'ils font.,2
Bayrou : "L'élection présidentielle n'est pas mon obsession"   DSK : " je n'ai pas de problème avec les femmes ",3
Finalement pour  il ne faut regarder que le bilan largement suffisant.. ,0
J'aime une vidéo  "Alizée et Grégoire Lyonnet dansent sur Harry Potter sur la Tournée DALS [Coup de Coeur]" à l'adresse,1
Merci aux anciens pour ce LT de  et bienvenue aux nouveaux !,1
pourquoi  n'as jamais été invité chez  ?? ,2
je veut voir aussi  chez  sa serais lourd ! et en bonus il vient avec  hahaha ,2
Matt On t'aime &lt3 avec  vous formez un couple de danseur magique Je vous adore &lt3  ,1
 je n'ai pas si vu ce qui s'est passé ce WE ms pas de raison de partir!! On vs aime et on aime vs lire! Signe une fan de TPMP &,1
 les duos   et   (même si il est pu chroniqueur &,3
A Lire  Turquie: Erdogan se recueille sur les lieux de l'attentat d'Ankara ,3
  cette année ouais je suis déçue.. j'aimais bien ce concept du choix du public mais quand j'ai vu les propos..&,2
Je viens d'envoyer un message de soutient au Lounnet  j'espère qu'ils le liront &,1
 s/  "contrairement à ce que je peux entendre il n'y a aucun laxisme le laxis c'est ceux qui ont laissé passer la loi ,3
« Ce n'est pas Hollande que le PS voulait comme candidat il voulait DSK » Nicolas Sarkozy,3
"Je pense que l’analyse de politique économique de  ne doit pas être passée par pertes et profits"  ,3
"J’en arrive à me demander si DSK ayant été député vous ne voteriez pas l’absorption de bromure à dose régulière." ,3
" Si kaaris bigle il doit joué dans le bigdile se fdp mdr # off" je le fait ou pas ?,0
Je ne souhaite pas aux Serbes la même destinée que l'Etat Grec lui aussi conseillé par des "experts" :  ,0
Cahuzac avait raison la lutte des classes n'existe pas. Prenez DSK : preuve qu'un pauvre type peut diriger une banque.,0
. : "DSK est à la tête d'une banque pas d'un club de strip-tease !"  ,3
VIDEO - Affaire du Carlton: pour René Kojfer sans DSK il n'y a pas d'affaire ,3
"Dans l'affaire  le regroupement familial ne peut pas être utilisé.Aucun membre de la famille n'a de visa" Rach. Dati ,3
J'ai des épisodes en retard (donc pas de spoil svp) mais j'aimerai bien que Benoît gagne ,1
Hollande et Le Pen sur la télé japonaise. Rien que pour ça regarder  en direct  ça vaut le coup :D,1
La nouvelle poutine signée Jeff Petry débarque chez McDonald's (VIDÉO): « Voici la plus montréalaise des pouti... ,3
Les Patriotes traqués par la police de la pensée européenne ! Ma vidéo :  ,3
Non il n’y a pas de porte-avions d'entraînement chinois Lioning opérationnel avec GAE costaud au large de la Syrie ,3
. Il faut frapper préventivement pour ne pas être frappés. Tout le monde peut le comprendre.   ,2
Obama prévient Poutine: "La paix ne s'impose pas à coup de bombes": Le président Barack Obama a p...  ,3
"Aucun rapprochement de points de vue en termes de stratégie" entre Washington et Moscou sur la situation en Syrie ,3
 Poutine,3
Washington va envoyer 300 militaires pour aider à lutter contre Boko Haram: Le président Barack Obama a ... ,3
QUE SE PASSE-T-IL EN SYRIE ? -  ne blâme ni n'approuve :je...,3
 l'armée russe a bombardé plus de 380 cibles de Daesh ,3
Il n'existe pas un président plus menteur que  c'est incroyable !    ,0
Syrie:L’aviation russe et l’armée syrienne tuent plus de 50 terroristes dont 4 chefs ,3
Syrie: 40 terroristes de Daech tués par une frappe aérienne: Quarante terroristes du groupe… ,3
Syrie : Salim Benghalem la cible des frappes françaises à Rakka ,3
Si les pays islamiques entrent en Syrie par 70 points différents avec amour l'oppression prendra fin sans effusion de sang Arnaud Ducret,3
Syrie: Le Monde manipule les chiffres ,3
Le président russe Vladimir Poutine a inauguré aujourd'hui à Moscou la plus grande mosquée d'Europe. Revoyez les... ,3
Vietnam-Syrie: les présidents US mentent à leur pays et au monde entier  via ,3
3% de chômage pays boudé par les réfugiés de Syrie mais on vote UDC. Me réjouis d'une fin  les Suisses pleureront. ,2
Syrie : qui combat qui et où  via ,3
